Figure#,Contrails#,block radius,percentage,fillGap,minLength,correct#,incorrect#,missing#
1,7,12,25,600,100,0,1,7
1,7,12,25,600,50,0,1,7
1,7,12,25,600,25,0,1,7
1,7,12,25,400,100,0,1,7
1,7,12,25,400,50,0,1,7
1,7,12,25,400,25,0,1,7
1,7,12,25,200,100,0,1,7
1,7,12,25,200,50,0,1,7
1,7,12,25,200,25,0,1,7
1,7,12,15,600,100,0,1,7
1,7,12,15,600,50,0,1,7
1,7,12,15,600,25,0,1,7
1,7,12,15,400,100,0,1,7
1,7,12,15,400,50,0,1,7
1,7,12,15,400,25,0,1,7
1,7,12,15,200,100,0,1,7
1,7,12,15,200,50,0,1,7
1,7,12,15,200,25,0,1,7
1,7,12,5,600,100,0,1,7
1,7,12,5,600,50,0,1,7
1,7,12,5,600,25,0,1,7
1,7,12,5,400,100,0,1,7
1,7,12,5,400,50,0,1,7
1,7,12,5,400,25,0,1,7
1,7,12,5,200,100,0,1,7
1,7,12,5,200,50,0,1,7
1,7,12,5,200,25,0,1,7
1,7,7,25,600,100,0,1,7
1,7,7,25,600,50,0,1,7
1,7,7,25,600,25,0,1,7
1,7,7,25,400,100,0,1,7
1,7,7,25,400,50,0,1,7
1,7,7,25,400,25,0,1,7
1,7,7,25,200,100,0,1,7
1,7,7,25,200,50,0,1,7
1,7,7,25,200,25,0,1,7
1,7,7,15,600,100,0,1,7
1,7,7,15,600,50,0,1,7
1,7,7,15,600,25,0,1,7
1,7,7,15,400,100,0,1,7
1,7,7,15,400,50,0,1,7
1,7,7,15,400,25,0,1,7
1,7,7,15,200,100,0,1,7
1,7,7,15,200,50,0,1,7
1,7,7,15,200,25,0,1,7
1,7,7,5,600,100,0,1,7
1,7,7,5,600,50,0,1,7
1,7,7,5,600,25,0,1,7
1,7,7,5,400,100,0,1,7
1,7,7,5,400,50,0,1,7
1,7,7,5,400,25,0,1,7
1,7,7,5,200,100,0,1,7
1,7,7,5,200,50,0,1,7
1,7,7,5,200,25,0,1,7
1,7,2,25,600,100,,,7
1,7,2,25,600,50,,,7
1,7,2,25,600,25,,,7
1,7,2,25,400,100,,,7
1,7,2,25,400,50,,,7
1,7,2,25,400,25,,,7
1,7,2,25,200,100,,,7
1,7,2,25,200,50,,,7
1,7,2,25,200,25,,,7
1,7,2,15,600,100,,,7
